name,created,source,address,rating,number_of_reviews,location_point,about,tags,main_photo_url,order_page,curated,is_free,price
Neue Wache,2021-10-28 09:52:47,GoogleMaps,"Unter den Linden 4, 10117 Berlin, Germany",4.5,1519,"('SRID=4326;POINT (13.3955281 52.5178902)',)",Moving memorial dedicated to war victims. War remembrance building restored after World War II bombings with haunting central sculpture.,Architecture,https://upload.wikimedia.org/wikipedia/commons/e/ee/150214_Neue_Wache_Berlin.jpg,,FALSE,TRUE,
Rotes Rathaus,2021-10-28 09:52:38,GoogleMaps,"Rathausstraße 15, 10178 Berlin, Germany",4.4,1043,"('SRID=4326;POINT (13.408644299999999 52.518277499999996)',)",Imposing neo Renaissance town hall. This massive red brick building was completed in 1869 & plays hosts to regular exhibitions & events.,Architecture,https://lh5.googleusercontent.com/p/AF1QipN2J_lz5ezBZUk21Rktag5kny87PvnnRuE9dntP=w732-h552-k-no,,FALSE,TRUE,
Tempelhofer Feld,2021-10-28 09:52:47,GoogleMaps,"Tempelhofer Damm, 12101 Berlin, Germany",4.5,19915,"('SRID=4326;POINT (13.401893 52.475390999999995)',)","Recreational hub in an old airport. Former airport-turned-public park, with massive lawns for biking, walking, picnics & recreation.","Urban Parks, Walking & Biking",https://lh5.googleusercontent.com/p/AF1QipPJf_JN3zmNO0OP_8W2gmi9650lv0Qwm6s-HDiI=w552-h552-k-no,,FALSE,TRUE,
The Wall Museum,2021-10-28 09:52:35,GoogleMaps,"Mühlenstraße 78-80, 10243 Berlin, Germany",4.2,986,"('SRID=4326;POINT (13.445263899999999 52.5026556)',)","Berlin Wall news reels & interview clips. Multimedia exhibition tracing the history of the Berlin Wall, with TV news clips & video interviews.","Museums, Historic Sites",https://lh5.googleusercontent.com/p/AF1QipPc8Q1ZDq9SCIMg09ytY5ZfNnlkvilxPdPc3bgU=w480-h636-k-no,,FALSE,TRUE,
New Palace,2021-10-28 09:53:06,GoogleMaps,"Am Neuen Palais, 14469 Potsdam, Germany",4.7,6855,"('SRID=4326;POINT (13.016029999999999 52.401301)',)","Rococo interiors in 18th-century palace. Vast, ornate, 18th-century palace with lavish, rococo interiors, hung with numerous paintings.","Architecture, Art, Historic Sites, Museums",https://lh5.googleusercontent.com/p/AF1QipM84BGxWuRT27aEhzNRZpRikNB8nHRTGcPs-RFC=w828-h552-k-no,,FALSE,TRUE,
Nikolaiviertel,2021-10-28 09:52:38,GoogleMaps,"Rathausstraße 21, 10178 Berlin, Germany",4.5,452,"('SRID=4326;POINT (13.407029699999999 52.5174032)',)",Restored district of medieval townhouses. Pastel-painted merchant houses from the Middle Ages on cobbled streets around St. Nicholas' Church.,"Architecture, Culture",https://lh5.googleusercontent.com/p/AF1QipOFzKvqmuy5rE5uE8NSj3m8nCY0GmON10gEMEwf=w732-h552-k-no,,FALSE,TRUE,
Sanssouci Palace,2021-10-28 09:52:51,GoogleMaps,"Maulbeerallee, 14469 Potsdam, Germany",4.6,18916,"('SRID=4326;POINT (13.0384999 52.404201699999994)',)",Iconic palace of Frederick the Great. King's summer residence with period 18th century furnishings & iconic terraced vineyards.,"Architecture, Popular, Art, Historic Sites, Museums",https://lh5.googleusercontent.com/p/AF1QipPoJsiMnrcXYIgj-LxNgVA1XG9mARvQJPPFW2cj=w828-h552-k-no,,FALSE,TRUE,
Gaststätte W. Prassnik,2021-10-28 09:51:14,GoogleMaps,"Torstraße 65, 10119 Berlin, Germany",4.5,321,"('SRID=4326;POINT (13.408131599999999 52.5292645)',)",Beer & bites with a nostalgic vibe. House beer & snacks in a spartan setting reminiscent of an East German-era neighborhood bar.,Nightlife,https://lh5.googleusercontent.com/p/AF1QipNmgzjrVuk9x1n_RPrL0vcIEBA0vQFgfqVL5UJF=w738-h552-k-no,,FALSE,TRUE,
TheCoven Bar,2021-10-28 09:50:45,GoogleMaps,"Kleine Präsidentenstraße 3, 10178 Berlin, Germany",4.4,392,"('SRID=4326;POINT (13.4003482 52.522712299999995)',)","Cool, industrial-chic cocktail den. Craft cocktails in a low-lit, atmospheric bar with a stylish black interior & hanging cage lights.",Nightlife,https://images.squarespace-cdn.com/content/v1/52bac94ce4b099c1d3d7eeb0/1424127198106-6POHU97IFXX1FX30IHGA/1.3.jpg?format=750w,,FALSE,TRUE,
BRYK BAR,2021-10-28 09:50:52,GoogleMaps,"Sredzkistraße 65, 10405 Berlin, Germany",4.2,396,"('SRID=4326;POINT (13.4224222 52.5375945)',)",Slick stop for cocktails & signature gin. Creative cocktails & housemade gin at a sleek contemporary bar with a fireplace & a terrace.,Nightlife,https://lh5.googleusercontent.com/p/AF1QipMVazopkK6pt-wk_xrElec2qHAv0fm196rrmy_d=w978-h552-k-no,,FALSE,TRUE,
